City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,longyearbyen,78.2186,15.6401,51.64,87,75,5.75,SJ,1722708316
83,enewetak,11.3474,162.3373,82.69,77,28,0.47,MH,1722708318
84,turkmenbasy,40.0222,52.9552,81.37,50,75,9.22,TM,1722708319
85,olesno,50.877,18.4209,63.48,74,99,5.97,PL,1722708320
86,cabo san lucas,22.8909,-109.9124,95.31,46,0,14.97,MX,1722708321
87,bentiu,9.2333,29.8333,80.37,62,67,1.7,SS,1722708322
88,basco,20.4487,121.9702,85.12,80,62,11.43,PH,1722708323
89,mangaratiba,-22.9597,-44.0406,86.86,61,0,9.33,BR,1722708325
90,puerto carreno,6.189,-67.4859,89.58,66,20,8.05,CO,1722708326
91,kununurra,-15.7667,128.7333,60.78,88,5,1.14,AU,1722708328
92,new norfolk,-42.7826,147.0587,47.7,78,88,7.52,AU,1722708330
93,isafjordur,66.0755,-23.124,53.64,76,75,18.41,IS,1722708331
94,wailua homesteads,22.0669,-159.378,77.79,88,100,5.75,US,1722708332
95,mani,4.8172,-72.2886,87.57,61,45,4.56,CO,1722708333
96,sur,22.5667,59.5289,91.54,57,98,5.3,OM,1722708334
97,pisco,-13.7,-76.2167,63.01,82,100,4.61,PE,1722708336
98,gunjur,13.2019,-16.7339,84.27,70,75,11.5,GM,1722708337
99,port mathurin,-19.6833,63.4167,72.54,66,17,12.06,MU,1722708338
100,college,64.8569,-147.8028,52.12,89,100,4.61,US,1722708340
101,nelson bay,-32.7167,152.15,45.0,95,39,5.99,AU,1722708341
102,millom,54.2107,-3.272,64.02,71,17,1.01,GB,1722708343
103,pangody,65.85,74.4859,64.56,89,99,8.79,RU,1722708344
104,west island,-12.1568,96.8225,78.78,73,20,8.05,CC,1722708345
105,ximeicun,24.9639,118.3794,80.94,89,3,0.65,CN,1722708346
106,arvayheer,46.2639,102.775,55.51,63,85,7.23,MN,1722708348
107,saint-pierre,-21.3393,55.4781,65.88,72,0,5.75,RE,1722708349
108,arecibo,18.4724,-66.7157,91.04,73,20,23.15,PR,1722708350
109,nuuk,64.1835,-51.7216,39.81,87,20,9.22,GL,1722708351
110,sola,-13.8833,167.55,78.4,79,91,22.06,VU,1722708352
111,east london,-33.0153,27.9116,63.54,67,0,6.91,ZA,1722708354
112,ankang,32.68,109.0172,77.56,90,96,2.13,CN,1722708355
113,sitka,57.0531,-135.33,62.49,67,75,9.22,US,1722708356
114,vilyuysk,63.7553,121.6247,51.6,60,9,1.95,RU,1722708357
115,soio,-6.1349,12.3689,68.76,85,3,7.65,AO,1722708358
116,sisimiut,66.9395,-53.6735,48.02,73,9,6.13,GL,1722708360
117,anadyr,64.75,177.4833,48.7,93,75,2.24,RU,1722708105
118,zhosaly,45.4878,64.0781,85.73,21,1,12.44,KZ,1722708362
119,ilulissat,69.2167,-51.1,53.62,54,0,5.75,GL,1722708363
120,kerikeri,-35.2268,173.9474,53.91,88,100,5.01,NZ,1722708114
121,aktobe,50.2797,57.2072,69.89,49,20,4.47,KZ,1722708366
122,thunder bay,48.4001,-89.3168,75.18,50,75,12.66,CA,1722708367
123,villa yapacani,-17.4,-63.8333,88.86,34,41,15.14,BO,1722708368
124,kinablangan,7.6947,126.5503,75.31,87,100,4.12,PH,1722708370
125,yellowknife,62.456,-114.3525,68.41,47,75,12.66,CA,1722708371
126,tual,-5.6667,132.75,78.04,85,87,20.83,ID,1722708372
127,taltal,-25.4,-70.4833,64.74,62,86,4.43,CL,1722708373
128,puerto ayora,-0.7393,-90.3518,75.16,84,77,5.99,EC,1722708374
